target,weight,source,type
213178,1,208076,Undirected
213867,2,208076,Undirected
215369,2,208076,Undirected
317558,1,208076,Undirected
327092,1,208076,Undirected
421085,5,208076,Undirected
440698,2,208076,Undirected
208085,46,208077,Undirected
208088,34,208077,Undirected
208101,1,208077,Undirected
208105,1,208077,Undirected
208121,1,208077,Undirected
208126,1,208077,Undirected
208129,3,208077,Undirected
208130,10,208077,Undirected
208131,8,208077,Undirected
208176,3,208077,Undirected
208186,2,208077,Undirected
208192,3,208077,Undirected
208204,6,208077,Undirected
208208,2,208077,Undirected
208245,1,208077,Undirected
208286,1,208077,Undirected
208295,6,208077,Undirected
208298,3,208077,Undirected
208366,2,208077,Undirected
208371,1,208077,Undirected
208377,5,208077,Undirected
208400,1,208077,Undirected
208407,1,208077,Undirected
208417,2,208077,Undirected
208428,1,208077,Undirected
208437,8,208077,Undirected
208453,2,208077,Undirected
208455,3,208077,Undirected
208479,5,208077,Undirected
208517,2,208077,Undirected
208522,4,208077,Undirected
208579,4,208077,Undirected
208627,1,208077,Undirected
208641,4,208077,Undirected
208801,3,208077,Undirected
208816,3,208077,Undirected
208899,1,208077,Undirected
208935,2,208077,Undirected
209115,1,208077,Undirected
209166,1,208077,Undirected
209272,1,208077,Undirected
209273,1,208077,Undirected
209314,1,208077,Undirected
209528,1,208077,Undirected
209537,1,208077,Undirected
209546,1,208077,Undirected
209547,1,208077,Undirected
209568,1,208077,Undirected
209615,1,208077,Undirected
209673,1,208077,Undirected
209773,1,208077,Undirected
209974,1,208077,Undirected
209979,1,208077,Undirected
210024,1,208077,Undirected
210067,1,208077,Undirected
213178,1,208077,Undirected
213867,2,208077,Undirected
215369,2,208077,Undirected
317558,1,208077,Undirected
327092,1,208077,Undirected
421085,2,208077,Undirected
440698,2,208077,Undirected
208080,2,208078,Undirected
208081,52,208078,Undirected
208083,1,208078,Undirected
208084,3,208078,Undirected
208092,3,208078,Undirected
208097,2,208078,Undirected
208112,2,208078,Undirected
208124,3,208078,Undirected
208126,14,208078,Undirected
208138,2,208078,Undirected
208139,1,208078,Undirected
208148,1,208078,Undirected
208164,3,208078,Undirected
208166,17,208078,Undirected
208172,2,208078,Undirected
208173,18,208078,Undirected
208188,12,208078,Undirected
208215,5,208078,Undirected
208217,10,208078,Undirected
208227,2,208078,Undirected
208228,9,208078,Undirected
208237,1,208078,Undirected
208248,6,208078,Undirected
208251,1,208078,Undirected
208259,9,208078,Undirected
208305,3,208078,Undirected
208310,2,208078,Undirected
208324,2,208078,Undirected
208335,3,208078,Undirected
208346,3,208078,Undirected
208389,2,208078,Undirected
208411,1,208078,Undirected
208484,1,208078,Undirected
208502,5,208078,Undirected
208570,4,208078,Undirected
208624,1,208078,Undirected
208719,3,208078,Undirected
208741,3,208078,Undirected
208742,2,208078,Undirected
208750,2,208078,Undirected
208752,1,208078,Undirected
208762,3,208078,Undirected
208829,2,208078,Undirected
208845,2,208078,Undirected
208860,1,208078,Undirected
208908,2,208078,Undirected
208919,2,208078,Undirected
208928,1,208078,Undirected
208971,1,208078,Undirected
209065,1,208078,Undirected
209114,2,208078,Undirected
209162,4,208078,Undirected
209251,1,208078,Undirected
209252,2,208078,Undirected
209269,1,208078,Undirected
209316,2,208078,Undirected
209695,1,208078,Undirected
209700,1,208078,Undirected
209737,7,208078,Undirected
209811,1,208078,Undirected
209874,5,208078,Undirected
210066,1,208078,Undirected
210095,1,208078,Undirected
257733,1,208078,Undirected
393397,1,208078,Undirected
208108,3,208079,Undirected
208118,29,208079,Undirected
208132,7,208079,Undirected
208137,9,208079,Undirected
208149,8,208079,Undirected
208154,11,208079,Undirected
208167,5,208079,Undirected
208179,14,208079,Undirected
208192,2,208079,Undirected
208194,2,208079,Undirected
208214,2,208079,Undirected
208226,1,208079,Undirected
208241,2,208079,Undirected
208244,8,208079,Undirected
208258,10,208079,Undirected
208288,3,208079,Undirected
208304,4,208079,Undirected
208329,1,208079,Undirected
208347,3,208079,Undirected
208352,4,208079,Undirected
208412,6,208079,Undirected
208429,2,208079,Undirected
208438,1,208079,Undirected
208446,2,208079,Undirected
208464,5,208079,Undirected
208494,3,208079,Undirected
208497,2,208079,Undirected
208508,5,208079,Undirected
208516,4,208079,Undirected
208529,1,208079,Undirected
208552,2,208079,Undirected
208588,2,208079,Undirected
208615,1,208079,Undirected
208648,2,208079,Undirected
208672,2,208079,Undirected
208784,2,208079,Undirected
208891,2,208079,Undirected
208943,2,208079,Undirected
209018,1,208079,Undirected
209049,1,208079,Undirected
209173,1,208079,Undirected
209271,1,208079,Undirected
209279,1,208079,Undirected
209284,1,208079,Undirected
209309,1,208079,Undirected
209330,1,208079,Undirected
209393,3,208079,Undirected
209461,1,208079,Undirected
209478,1,208079,Undirected
209512,12,208079,Undirected
209622,1,208079,Undirected
209630,1,208079,Undirected
209703,1,208079,Undirected
209770,1,208079,Undirected
209803,1,208079,Undirected
209848,1,208079,Undirected
209960,1,208079,Undirected
210017,1,208079,Undirected
210071,1,208079,Undirected
210080,1,208079,Undirected
423977,1,208079,Undirected
208084,5,208080,Undirected
208092,12,208080,Undirected
208099,26,208080,Undirected
208117,1,208080,Undirected
208119,18,208080,Undirected
208134,1,208080,Undirected
208138,11,208080,Undirected
208148,4,208080,Undirected
208180,7,208080,Undirected
208182,7,208080,Undirected
208195,5,208080,Undirected
208198,5,208080,Undirected
208228,7,208080,Undirected
208230,1,208080,Undirected
208243,1,208080,Undirected
208247,1,208080,Undirected
208250,1,208080,Undirected
208264,3,208080,Undirected
208285,1,208080,Undirected
208286,5,208080,Undirected
208312,3,208080,Undirected
208335,7,208080,Undirected
208398,2,208080,Undirected
208461,4,208080,Undirected
208655,1,208080,Undirected
208709,3,208080,Undirected
208800,4,208080,Undirected
208819,2,208080,Undirected
208956,1,208080,Undirected
209060,1,208080,Undirected
209065,2,208080,Undirected
209127,1,208080,Undirected
209333,1,208080,Undirected
209340,1,208080,Undirected
209407,1,208080,Undirected
209823,1,208080,Undirected
210290,1,208080,Undirected
210365,1,208080,Undirected
211883,1,208080,Undirected
212006,4,208080,Undirected
231508,1,208080,Undirected
246773,4,208080,Undirected
208097,1,208081,Undirected
208112,5,208081,Undirected
208126,8,208081,Undirected
208166,7,208081,Undirected
208173,9,208081,Undirected
208188,13,208081,Undirected
208217,3,208081,Undirected
208248,11,208081,Undirected
208259,1,208081,Undirected
208305,1,208081,Undirected
208310,1,208081,Undirected
208324,1,208081,Undirected
208411,1,208081,Undirected
208484,3,208081,Undirected
208502,5,208081,Undirected
208676,1,208081,Undirected
208719,3,208081,Undirected
208741,3,208081,Undirected
208742,1,208081,Undirected
208750,1,208081,Undirected
208762,2,208081,Undirected
208829,2,208081,Undirected
208845,2,208081,Undirected
208860,1,208081,Undirected
208919,2,208081,Undirected
208971,1,208081,Undirected
209269,1,208081,Undirected
209695,1,208081,Undirected
209737,1,208081,Undirected
209811,1,208081,Undirected
210095,1,208081,Undirected
208083,7,208082,Undirected
208086,2,208082,Undirected
208101,8,208082,Undirected
208106,22,208082,Undirected
208121,2,208082,Undirected
208146,2,208082,Undirected
208184,5,208082,Undirected
208251,1,208082,Undirected
208367,1,208082,Undirected
208608,1,208082,Undirected
208788,1,208082,Undirected
209623,1,208082,Undirected
209649,1,208082,Undirected
209752,1,208082,Undirected
211029,1,208082,Undirected
211204,1,208082,Undirected
356445,1,208082,Undirected
356563,1,208082,Undirected
208086,5,208083,Undirected
208091,8,208083,Undirected
208106,11,208083,Undirected
208152,1,208083,Undirected
208211,1,208083,Undirected
208218,2,208083,Undirected
208251,7,208083,Undirected
208294,7,208083,Undirected
208300,7,208083,Undirected
208311,2,208083,Undirected
208413,2,208083,Undirected
208735,6,208083,Undirected
208738,1,208083,Undirected
208744,2,208083,Undirected
208963,1,208083,Undirected
208987,1,208083,Undirected
209071,1,208083,Undirected
209175,4,208083,Undirected
209396,1,208083,Undirected
209598,1,208083,Undirected
209651,1,208083,Undirected
209689,1,208083,Undirected
209716,1,208083,Undirected
209839,1,208083,Undirected
210107,2,208083,Undirected
211055,1,208083,Undirected
211265,1,208083,Undirected
211450,1,208083,Undirected
211506,1,208083,Undirected
211747,1,208083,Undirected
212109,1,208083,Undirected
286490,3,208083,Undirected
208092,1,208084,Undirected
208138,1,208084,Undirected
208164,8,208084,Undirected
208172,1,208084,Undirected
208173,1,208084,Undirected
208228,3,208084,Undirected
208237,2,208084,Undirected
208346,2,208084,Undirected
208389,3,208084,Undirected
208402,7,208084,Undirected
208461,6,208084,Undirected
208998,2,208084,Undirected
209105,2,208084,Undirected
209441,1,208084,Undirected
209566,1,208084,Undirected
209900,1,208084,Undirected
210102,1,208084,Undirected
208088,2,208085,Undirected
208101,1,208085,Undirected
208121,1,208085,Undirected
208130,9,208085,Undirected
208131,3,208085,Undirected
208152,1,208085,Undirected
208176,2,208085,Undirected
208186,2,208085,Undirected
208192,1,208085,Undirected
208204,1,208085,Undirected
208293,1,208085,Undirected
208325,1,208085,Undirected
208437,8,208085,Undirected
208479,5,208085,Undirected
208522,3,208085,Undirected
208641,1,208085,Undirected
208801,3,208085,Undirected
208935,2,208085,Undirected
209166,1,208085,Undirected
209314,1,208085,Undirected
209546,1,208085,Undirected
208087,3,208086,Undirected
208091,3,208086,Undirected
208101,2,208086,Undirected
208102,1,208086,Undirected
208106,1,208086,Undirected
208116,1,208086,Undirected
208121,8,208086,Undirected
208152,1,208086,Undirected
208169,1,208086,Undirected
208218,1,208086,Undirected
208247,1,208086,Undirected
208300,1,208086,Undirected
208311,7,208086,Undirected
208326,7,208086,Undirected
208346,1,208086,Undirected
208413,4,208086,Undirected
208449,7,208086,Undirected
208707,1,208086,Undirected
208735,2,208086,Undirected
208744,1,208086,Undirected
208770,3,208086,Undirected
208953,2,208086,Undirected
208963,1,208086,Undirected
208987,1,208086,Undirected
209071,1,208086,Undirected
209093,1,208086,Undirected
209434,1,208086,Undirected
209588,1,208086,Undirected
209598,1,208086,Undirected
209688,1,208086,Undirected
209692,1,208086,Undirected
209918,1,208086,Undirected
209999,1,208086,Undirected
210084,3,208086,Undirected
210107,1,208086,Undirected
210108,1,208086,Undirected
210344,1,208086,Undirected
210424,1,208086,Undirected
210460,1,208086,Undirected
211029,3,208086,Undirected
211204,2,208086,Undirected
211265,1,208086,Undirected
211367,1,208086,Undirected
211377,1,208086,Undirected
208091,6,208087,Undirected
208101,7,208087,Undirected
208102,15,208087,Undirected
208116,23,208087,Undirected
208121,3,208087,Undirected
208152,7,208087,Undirected
208168,20,208087,Undirected
208184,6,208087,Undirected
208196,6,208087,Undirected
208211,8,208087,Undirected
208218,4,208087,Undirected
208287,1,208087,Undirected
208293,2,208087,Undirected
208367,1,208087,Undirected
208476,1,208087,Undirected
208540,1,208087,Undirected
208577,1,208087,Undirected
208590,2,208087,Undirected
208612,1,208087,Undirected
208633,4,208087,Undirected
208659,3,208087,Undirected
208694,1,208087,Undirected
208728,2,208087,Undirected
208985,1,208087,Undirected
209257,1,208087,Undirected
209380,1,208087,Undirected
209557,1,208087,Undirected
209572,1,208087,Undirected
209918,1,208087,Undirected
209999,1,208087,Undirected
210111,1,208087,Undirected
356463,1,208087,Undirected
208105,1,208088,Undirected
208126,1,208088,Undirected
208129,4,208088,Undirected
208131,3,208088,Undirected
208176,2,208088,Undirected
208192,2,208088,Undirected
208204,1,208088,Undirected
208208,2,208088,Undirected
208295,1,208088,Undirected
208298,2,208088,Undirected
208366,2,208088,Undirected
208455,3,208088,Undirected
208579,4,208088,Undirected
208641,3,208088,Undirected
208787,1,208088,Undirected
208816,2,208088,Undirected
208899,1,208088,Undirected
209379,1,208088,Undirected
209528,1,208088,Undirected
209537,1,208088,Undirected
209568,1,208088,Undirected
209615,1,208088,Undirected
209673,1,208088,Undirected
209974,1,208088,Undirected
317558,1,208088,Undirected
327092,1,208088,Undirected
421085,2,208088,Undirected
440698,1,208088,Undirected
208121,1,208089,Undirected
208141,12,208089,Undirected
208281,9,208089,Undirected
208284,2,208089,Undirected
208573,4,208089,Undirected
208740,13,208089,Undirected
208798,3,208089,Undirected
208802,10,208089,Undirected
208877,5,208089,Undirected
208894,2,208089,Undirected
209394,1,208089,Undirected
209475,1,208089,Undirected
209510,1,208089,Undirected
209931,1,208089,Undirected
209981,1,208089,Undirected
210138,4,208089,Undirected
210157,2,208089,Undirected
210176,1,208089,Undirected
210231,1,208089,Undirected
210232,1,208089,Undirected
210878,1,208089,Undirected
210989,2,208089,Undirected
211050,2,208089,Undirected
211119,3,208089,Undirected
211401,5,208089,Undirected
246599,1,208089,Undirected
246783,4,208089,Undirected
246888,1,208089,Undirected
208105,20,208090,Undirected
208130,3,208090,Undirected
208183,16,208090,Undirected
208371,5,208090,Undirected
208375,9,208090,Undirected
208528,5,208090,Undirected
208584,3,208090,Undirected
208585,3,208090,Undirected
208589,5,208090,Undirected
208604,1,208090,Undirected
208755,3,208090,Undirected
208937,2,208090,Undirected
209039,1,208090,Undirected
209072,2,208090,Undirected
209144,1,208090,Undirected
209296,1,208090,Undirected
209312,1,208090,Undirected
209492,1,208090,Undirected
209599,1,208090,Undirected
209618,1,208090,Undirected
209776,1,208090,Undirected
209802,1,208090,Undirected
209855,1,208090,Undirected
209884,1,208090,Undirected
209939,1,208090,Undirected
209940,10,208090,Undirected
209952,1,208090,Undirected
209990,8,208090,Undirected
212921,1,208090,Undirected
246769,1,208090,Undirected
250612,1,208090,Undirected
252106,1,208090,Undirected
